"Token","Número de línea","Categoría","Nombre Categoria"
"PROGRAMA","1","-10","PALABRA_RESERVADA"
"IDENTIFICADOR_INICIO","1","-1","IDENTIFICADOR"
"PUNTOCOMA","1","-62","CARACTER_ESPECIAL"
"VARIABLES","3","-25","PALABRA_RESERVADA"
"IDENTIFICADOR","7","-1","IDENTIFICADOR"
"COMA","7","-61","CARACTER_ESPECIAL"
"IDENTIFICADOR","7","-1","IDENTIFICADOR"
"DOSPUNTOS","7","-60","CARACTER_ESPECIAL"
"ENTERO","7","-14","PALABRA_RESERVADA"
"PUNTOCOMA","7","-62","CARACTER_ESPECIAL"
"IDENTIFICADOR","8","-1","IDENTIFICADOR"
"DOSPUNTOS","8","-60","CARACTER_ESPECIAL"
"REAL","8","-15","PALABRA_RESERVADA"
"PUNTOCOMA","8","-62","CARACTER_ESPECIAL"
"IDENTIFICADOR","9","-1","IDENTIFICADOR"
"DOSPUNTOS","9","-60","CARACTER_ESPECIAL"
"CADENA","9","-16","PALABRA_RESERVADA"
"PUNTOCOMA","9","-62","CARACTER_ESPECIAL"
"IDENTIFICADOR","10","-1","IDENTIFICADOR"
"DOSPUNTOS","10","-60","CARACTER_ESPECIAL"
"LOGICO","10","-17","PALABRA_RESERVADA"
"PUNTOCOMA","10","-62","CARACTER_ESPECIAL"
"INICIO","12","-10","PALABRA_RESERVADA"
"ESCRIBIR","13","-13","PALABRA_RESERVADA"
"PARENTESISABIERTO","13","-63","CARACTER_ESPECIAL"
"IDENTIFICADOR","13","-1","IDENTIFICADOR"
"PARENTESISCERRADO","13","-64","CARACTER_ESPECIAL"
"PUNTOCOMA","13","-62","CARACTER_ESPECIAL"
"LEER","14","-12","PALABRA_RESERVADA"
"PARENTESISABIERTO","14","-63","CARACTER_ESPECIAL"
"NUMERO_ENTERO","14","-70","NUMERO_ENTERO"
"PARENTESISCERRADO","14","-64","CARACTER_ESPECIAL"
"PUNTOCOMA","14","-62","CARACTER_ESPECIAL"
"FIN","15","-11","PALABRA_RESERVADA"
